Brand,Model,Low End,High End,Score
Jeep,Wrangler,"$28,295.00","$42,195.00",26
Fiat,500X,"$24,590.00","$29,495.00",35
Cadillac,Escalade,"$75,195.00","$98,295.00",41
Land,Discovery Sport,"$37,800.00","$52,800.00",44
Land,Range Rover Evoque,"$42,650.00","$56,850.00",45
Jeep,Renegade,"$22,375.00","$28,500.00",48
Jeep,Compass,"$22,280.00","$30,130.00",51
Land,Discovery,"$52,300.00","$69,200.00",51
Jeep,Cherokee,"$25,840.00","$38,495.00",52
MitsubishiEclipse,Eclipse Cross,"$22,995.00","$28,745.00",52
Cadillac,XT4,"$35,695.00","$42,295.00",52
Chevrolet,Trax,"$21,300.00","$29,100.00",53
Mitsubishi,Outlander,"$24,895.00","$41,695.00",54
Jaguar,F-Pace,"$45,200.00","$80,600.00",54
Land,Range Rover Velar,"$56,300.00","$90,790.00",54
Land,Range Rover,"$90,900.00","$209,500.00",54
Land,Range Rover Sport,"$68,650.00","$114,500.00",54
Jaguar,E-Pace,"$39,950.00","$52,950.00",55
Cadillac,XT6,"$52,695.00","$57,095.00",56
TeslaModel,Model X,"$84,990.00","$104,990.00",57
Acura,MDX,"$44,500.00","$61,750.00",58
Honda,Passport,"$31,990.00","$43,780.00",59
GMCYukon,Yukon XL,"$53,400.00","$73,500.00",59
Mazda,CX-30,"$21,900.00","$29,600.00",61
Volkswagen,Tiguan,"$24,945.00","$38,795.00",61
Volkswagen,Atlas,"$31,545.00","$49,195.00",61
Acura,RDX,"$37,800.00","$47,900.00",61
Jaguar,I-Pace,"$69,850.00","$80,900.00",61
Ford,Escape,"$24,885.00","$38,835.00",62
Dodge,Durango,"$30,795.00","$62,995.00",63
Nissan,Armada,"$47,100.00","$63,530.00",63
BuickEncore,Encore GX,"$24,100.00","$30,500.00",63
Mercedes-Benz,GLA,"$34,250.00","$36,250.00",63
Lincoln,Nautilus,"$41,040.00","$63,800.00",63
Volvo,XC90,"$48,350.00","$73,800.00",63
Chevrolet,Suburban,"$49,700.00","$68,500.00",64
Cadillac,XT5,"$44,095.00","$55,095.00",64
Chevrolet,Traverse,"$29,800.00","$53,200.00",65
Toyota,4Runner,"$36,120.00","$49,865.00",65
Buick,Envision,"$31,995.00","$43,600.00",65
Lincoln,Navigator,"$76,185.00","$100,335.00",65
Honda,HR-V,"$20,820.00","$28,890.00",66
Hyundai,Tucson,"$23,550.00","$33,300.00",67
Alfa,Stelvio,"$41,400.00","$80,500.00",67
Lincoln,Corsair,"$35,945.00","$44,830.00",67
Infiniti,QX80,"$66,750.00","$91,450.00",67
Kia,Seltos,"$21,990.00","$27,890.00",68
Ford,EcoSport,"$19,995.00","$27,715.00",68
Chevrolet,Blazer,"$28,800.00","$45,600.00",68
Nissan,Pathfinder,"$31,680.00","$44,610.00",68
Chevrolet,Tahoe,"$46,800.00","$65,700.00",68
GMC,Yukon,"$50,600.00","$70,700.00",68
Mercedes-Benz,GLB,"$36,600.00","$38,600.00",68
GMC,Terrain,"$25,000.00","$39,900.00",69
Ford,Explorer,"$32,765.00","$58,250.00",69
MiniCooper,Cooper Countryman,"$28,400.00","$41,400.00",69
Mercedes-Benz,GLE,"$54,250.00","$77,600.00",69
JeepGrand,Grand Cherokee,"$32,150.00","$87,400.00",70
GMC,Acadia,"$29,800.00","$48,300.00",70
BMW,X7,"$73,900.00","$99,600.00",70
Buick,Encore,"$23,200.00","$30,800.00",71
Volvo,XC60,"$40,150.00","$69,500.00",71
Mercedes-Benz,GLS,"$75,950.00","$98,800.00",71
Toyota,RAV4,"$25,950.00","$36,880.00",72
BMW,X1,"$35,200.00","$37,200.00",72
Volvo,XC40,"$33,700.00","$42,450.00",72
Mercedes-Benz,GLC,"$42,500.00","$84,100.00",72
BMW,X5,"$58,900.00","$114,100.00",72
Lincoln,Aviator,"$51,100.00","$87,800.00",72
Mazda,CX-3,"$20,640.00","$22,040.00",73
Ford,Expedition,"$48,990.00","$80,110.00",73
Toyota,Sequoia,"$49,980.00","$69,245.00",73
Kia,Sorento,"$26,990.00","$41,890.00",74
BMW,X2,"$36,400.00","$46,450.00",74
Audi,Q5,"$43,300.00","$52,900.00",74
ToyotaLand,Land Cruiser,"$85,415.00","$87,745.00",74
Kia,Sportage,"$23,990.00","$35,090.00",75
Nissan,Rogue,"$25,300.00","$33,040.00",75
Honda,Pilot,"$31,650.00","$49,720.00",75
Nissan,Murano,"$31,530.00","$45,330.00",75
Infiniti,QX50,"$37,250.00","$55,850.00",75
Chevrolet,Equinox,"$23,800.00","$35,700.00",76
Buick,Enclave,"$40,000.00","$56,100.00",76
Honda,CR-V,"$25,050.00","$35,950.00",77
Hyundai,Kona,"$20,300.00","$45,400.00",78
NissanRogue,Rogue Sport,"$23,240.00","$29,800.00",78
HyundaiSanta,Santa Fe,"$26,125.00","$39,425.00",78
Audi,Q3,"$34,700.00","$36,000.00",78
BMW,X3,"$41,950.00","$76,900.00",78
Infiniti,QX60,"$44,350.00","$48,150.00",78
Ford,Edge,"$31,100.00","$43,265.00",79
Lexus,GX,"$53,000.00","$64,265.00",79
Lexus,UX,"$32,300.00","$39,700.00",80
Lexus,NX,"$36,870.00","$46,510.00",80
Lexus,RX,"$44,150.00","$56,510.00",80
Audi,e-tron,"$74,800.00","$164,400.00",81
LexusRX,RX L,"$47,300.00","$50,550.00",81
Subaru,Ascent,"$31,995.00","$45,045.00",82
Porsche,Macan,"$50,900.00","$83,600.00",82
Mazda,CX-5,"$25,190.00","$37,155.00",84
Subaru,Forester,"$24,495.00","$34,595.00",84
Subaru,Crosstrek,"$22,145.00","$35,145.00",85
Mazda,CX-9,"$33,890.00","$46,215.00",86
Toyota,Highlander,"$34,600.00","$50,200.00",86
Hyundai,Palisade,"$31,775.00","$46,625.00",87
Subaru,Outback,"$26,645.00","$39,695.00",87
Subaru,Outback,"$26,645.00","$39,695.00",87
